sequence_number,naics_code,naics_title,sector_code,sector_name,prompt,response,prompt_tokens,completion_tokens,total_tokens
3,1111,Oilseed and Grain Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1111 - Oilseed and Grain Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",495,18,513
19,1112,Vegetable and Melon Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1112 - Vegetable and Melon Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",494,18,512
23,1113,Fruit and Tree Nut Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1113 - Fruit and Tree Nut Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",494,18,512
36,1114,"Greenhouse, Nursery, and Floriculture Production",11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1114 - Greenhouse, Nursery, and Floriculture Production

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",498,18,516
43,1119,Other Crop Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1119 - Other Crop Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",490,18,508
57,1121,Cattle Ranching and Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1121 - Cattle Ranching and Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
65,1122,Hog and Pig Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1122 - Hog and Pig Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
68,1123,Poultry and Egg Production,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1123 - Poultry and Egg Production

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
79,1124,Sheep and Goat Farming,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1124 - Sheep and Goat Farming

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",493,18,511
84,1125,Aquaculture,11,"Agriculture, Forestry, Fishing and Hunting","NAICS Code: 1125 - Aquaculture

Is this a Critical Infrastructure sector?","Yes, critical national infrastructure. Mainly in Food and Agriculture Sector.",489,18,507
